Campaign_ID,Campaign_Name,Channel,Region,Start_Date,End_Date,Impressions,Clicks,Conversions,Spend,Revenue,Device,Age_Group
CMP04171,Black Friday,Face Book,South,01-06-2024,23-01-2024,183656,10612,801,601.08,728.79,mobile ,25-34
CMP05663,New Year,Facebook,North,18-06-2024,02-07-2024,203040,5354,763,693.00,729.29,Tablet,25-34
CMP04945,Diwali Blast,Facebook,South,03-04-2024,05-06-2024,288817,16076,706,772.16,732.91,Unknown,35-44
CMP18703,Diwali Blast,Google Ads,North,22-12-2024,27-12-2024,24676,469,16,721.03,740.31,Desktop,55+
CMP25726,Back To School,Facebook,North,11-06-2024,07-10-2024,131968,10200,685,689.78,742.21,Mobile,18-24
CMP02092,Summer Sale,Instagram,South,12-04-2024,05-02-2024,171667,13126,1902,696.39,747.51,Tablet,55+
CMP21492,Black Friday,Email,North,08-03-2024,21-08-2024,297633,17294,1555,643.92,752.66,Unknown,35-44
CMP15561,New Year,Youtube,North,30-04-2024,09-06-2024,5800,296,54,594.78,756.16,Unknown,35-44
CMP19311,Diwali Blast,Linkedin,North,11-05-2024,31-05-2024,92622,3369,437,593.49,769.25,Mobile,25-34
CMP17374,Black Friday,Email,North,03-12-2024,21-03-2024,259946,15948,1107,824.87,785.20,Tablet,18-24
CMP20760,Black Friday,Youtube,West,29-06-2024,08-06-2024,138320,7894,1055,576.32,786.29,Unknown,45-54
CMP22376,Back To School,Facebook,West,29-06-2024,18-07-2024,166786,12153,1365,658.33,792.61,Unknown,45-54
CMP10550,Diwali Blast,Instagram,North,07-10-2024,24-07-2024,287185,9592,1285,594.79,795.20,Desktop,25-34
CMP07872,Diwali Blast,Google Ads,West,08-03-2024,24-08-2024,61667,1399,182,664.40,801.28,mobile ,25-34
CMP26236,Back To School,Linkedin,South,17-12-2024,01-03-2025,109640,3828,144,728.41,803.80,Unknown,45-54
CMP09801,Back To School,Email,North,24-07-2024,19-08-2024,22605,1282,74,815.62,809.32,Desktop,25-34
CMP17706,Back To School,Face Book,North,08-10-2024,13-10-2024,108791,6956,742,976.75,809.54,Desktop,35-44
CMP00970,Summer Sale,Youtube,South,27-09-2024,03-11-2024,14331,297,48,930.24,812.67,Unknown,25-34
CMP00503,Festive Offer,Email,West,22-11-2024,12-08-2024,285556,3732,262,912.91,818.04,Tablet,25-34
CMP26765,Black Friday,Google Ads,Unknown,23-08-2024,14-09-2024,239862,7344,1413,833.11,825.25,Desktop,45-54
CMP18390,Summer Sale,Google Ads,East,05-11-2024,15-06-2024,160972,8599,294,915.46,825.67,Desktop,35-44
CMP04175,Festive Offer,,North,09-01-2024,09-02-2024,195295,14556,394,615.45,826.60,Tablet,18-24
CMP26409,Black Friday,Youtube,West,24-05-2024,06-10-2024,16217,1092,145,700.85,843.70,Mobile,35-44
CMP01624,Summer Sale,Face Book,West,17-04-2024,05-10-2024,14309,547,33,701.21,854.32,Tablet,45-54
CMP10370,Black Friday,Email,North,10-09-2024,16-10-2024,37216,828,91,541.11,861.35,Desktop,35-44
CMP28477,Summer Sale,Email,North,16-11-2024,23-11-2024,202318,11026,1090,626.39,862.70,Tablet,35-44
CMP27056,Black Friday,Google Ads,Unknown,08-05-2024,06-08-2024,17311,874,67,743.83,865.79,Tablet,18-24
CMP25560,Summer Sale,Google Ads,North,27-07-2024,24-08-2024,6501,192,12,644.48,878.00,Tablet,18-24
CMP16561,Back To School,Youtube,West,08-10-2024,09-08-2024,257089,9659,457,904.10,879.78,Tablet,18-24
CMP04855,Diwali Blast,Google Ads,North,23-08-2024,27-09-2024,248513,13071,1122,961.62,888.97,mobile ,25-34
CMP10540,Diwali Blast,Linkedin,North,18-02-2024,28-02-2024,242584,3775,362,596.72,889.92,Tablet,18-24
CMP17031,Back To School,Instagram,North,27-05-2024,17-06-2024,269024,13432,1206,974.23,901.82,Unknown,25-34
CMP24786,Diwali Blast,Face Book,North,02-06-2024,15-06-2024,232375,17625,1666,665.83,910.07,Tablet,35-44
CMP18537,Back To School,Linkedin,West,18-12-2024,24-12-2024,79558,5860,518,548.77,913.68,Desktop,18-24
CMP27239,Summer Sale,Facebook,West,29-06-2024,07-05-2024,167329,10003,1869,687.07,914.75,Desktop,55+
CMP05936,Diwali Blast,Linkedin,North,28-04-2024,18-05-2024,51843,1040,120,508.48,917.40,Unknown,25-34
CMP17273,Black Friday,Facebook,North,22-05-2024,29-06-2024,122242,1632,121,627.84,922.64,Unknown,18-24
CMP02526,Black Friday,Google Ads,East,12-03-2024,31-12-2024,90660,4703,718,697.20,924.62,Unknown,18-24
CMP25268,Summer Sale,Linkedin,South,06-09-2024,27-06-2024,161477,2261,267,650.05,927.01,Unknown,55+
CMP08637,Black Friday,Linkedin,East,29-12-2024,15-01-2025,81631,1620,219,749.98,928.27,Unknown,45-54
CMP17289,New Year,Youtube,North,14-07-2024,22-07-2024,257966,4363,657,704.83,929.18,Unknown,25-34
CMP14089,Summer Sale,Youtube,North,06-11-2024,12-12-2024,123783,5129,982,872.43,930.12,Tablet,35-44
CMP13483,Black Friday,Google Ads,East,02-08-2024,11-03-2024,91081,3641,269,569.98,941.51,Mobile,18-24
CMP19292,New Year,Google Ads,South,05-09-2024,13-10-2024,63904,2438,308,554.83,948.95,Desktop,55+
CMP06821,Festive Offer,Email,West,23-02-2024,21-03-2024,106174,3614,541,733.36,954.79,Desktop,45-54
CMP25372,Black Friday,Facebook,North,06-03-2024,21-06-2024,177884,6910,387,772.30,956.65,Desktop,45-54
CMP12535,Black Friday,Facebook,West,25-11-2024,24-12-2024,49903,522,63,891.60,964.40,Desktop,45-54
CMP03479,Back To School,Facebook,North,02-12-2024,28-02-2024,193062,2237,272,590.32,970.07,mobile ,18-24
CMP21280,Black Friday,Google Ads,West,29-04-2024,29-05-2024,266036,17861,1068,678.32,973.56,Tablet,25-34
CMP05542,Back To School,Google Ads,West,06-05-2024,24-05-2024,73759,5269,661,686.07,975.39,Unknown,35-44
CMP03921,Black Friday,Youtube,South,25-04-2024,15-05-2024,180933,1928,262,514.27,977.98,Unknown,55+
CMP29037,Black Friday,Facebook,South,10-10-2024,23-10-2024,217707,9742,965,1151.50,981.61,Mobile,45-54
CMP16711,Summer Sale,Instagram,North,09-07-2024,28-09-2024,273321,4997,611,746.54,993.01,Mobile,18-24
CMP29388,Black Friday,Linkedin,North,02-10-2024,10-07-2024,171806,12374,575,547.18,1005.63,mobile ,35-44
CMP23312,New Year,Google Ads,North,10-12-2024,11-10-2024,149780,11322,995,582.46,1007.41,mobile ,45-54
CMP09051,New Year,Facebook,West,05-05-2024,20-05-2024,240976,8014,1025,965.06,1011.07,Unknown,35-44
CMP20423,New Year,Face Book,North,01-01-2024,08-02-2024,230431,9847,482,1252.48,1017.90,Tablet,45-54
CMP09997,Diwali Blast,Google Ads,North,27-11-2024,15-12-2024,7218,412,54,772.28,1026.92,Tablet,55+
CMP24810,New Year,Facebook,South,30-06-2024,27-07-2024,267182,17083,2989,765.02,1027.63,Desktop,25-34
CMP13796,Diwali Blast,Facebook,East,10-07-2024,11-10-2024,184394,10463,1575,779.87,1030.52,Mobile,35-44
CMP10535,Summer Sale,Instagram,South,24-11-2024,30-11-2024,153451,5482,1041,1204.83,1031.61,Unknown,18-24
CMP20060,Black Friday,Facebook,North,05-07-2024,17-05-2024,250782,19070,2071,1170.10,1033.97,Mobile,25-34
CMP07570,Back To School,Email,North,06-06-2024,21-06-2024,238885,6994,1132,657.60,1039.79,Unknown,55+
CMP12064,Back To School,Facebook,East,15-04-2024,11-05-2024,117073,8536,769,528.28,1040.78,mobile ,18-24
CMP29643,New Year,Instagram,North,29-01-2024,27-02-2024,255639,7082,943,942.10,1046.88,Mobile,55+
CMP17783,Festive Offer,Instagram,North,03-09-2024,16-03-2024,5211,357,36,625.29,1048.01,mobile ,35-44
CMP25659,Black Friday,Google Ads,East,15-07-2024,13-08-2024,180447,6147,144,960.13,1048.82,Unknown,45-54
CMP18329,Back To School,Instagram,North,21-06-2024,28-07-2024,219403,4862,257,563.27,1050.09,Unknown,35-44
CMP10134,Festive Offer,Google Ads,West,04-02-2024,27-04-2024,277092,20187,2481,885.66,1060.22,Unknown,35-44
CMP15308,New Year,Facebook,North,02-05-2024,13-05-2024,70697,3578,438,896.47,1060.38,Unknown,55+
CMP18343,Festive Offer,Instagram,South,14-04-2024,05-10-2024,260570,17432,2965,725.56,1062.32,Tablet,55+
CMP16803,Festive Offer,Email,North,06-07-2024,08-03-2024,299663,5889,918,632.28,1062.37,Desktop,55+
CMP27617,Back To School,Facebook,West,08-01-2024,08-09-2024,105425,2928,81,1022.85,1063.95,Desktop,55+
CMP22216,Diwali Blast,Email,East,26-01-2024,02-11-2024,265663,19983,2725,957.58,1072.43,Tablet,25-34
CMP09101,Black Friday,Google Ads,North,03-03-2024,08-03-2024,186226,4856,859,631.01,1073.39,Mobile,45-54
CMP20426,Festive Offer,Youtube,South,13-08-2024,24-08-2024,238370,2611,271,826.71,1080.14,mobile ,25-34
CMP12076,Summer Sale,Email,North,24-08-2024,10-03-2024,17645,583,52,1159.25,1080.64,Desktop,18-24
CMP02669,Festive Offer,Face Book,North,23-11-2024,31-12-2024,80399,4674,440,823.64,1083.62,mobile ,18-24
CMP24607,Diwali Blast,Facebook,North,11-10-2024,12-08-2024,145287,6916,1088,734.47,1089.26,mobile ,35-44
CMP21721,Diwali Blast,Google Ads,North,14-06-2024,13-07-2024,199294,6518,418,1026.50,1094.61,mobile ,55+
CMP16403,New Year,,North,07-10-2024,12-11-2024,117894,1321,227,560.65,1099.89,Unknown,18-24
CMP03000,Festive Offer,Facebook,East,27-06-2024,08-01-2024,234366,2356,138,664.57,1103.44,Desktop,55+
CMP18054,Black Friday,Google Ads,West,25-05-2024,16-06-2024,34389,1224,186,971.46,1104.07,Tablet,45-54
CMP10312,Festive Offer,Email,North,07-05-2024,15-07-2024,232809,12303,337,1331.29,1105.11,Mobile,25-34
CMP03230,Back To School,Facebook,North,11-10-2024,06-12-2024,64965,3693,419,574.65,1105.54,mobile ,45-54
CMP29665,Black Friday,Email,North,01-10-2024,23-10-2024,189317,6087,468,955.94,1110.91,Desktop,55+
CMP19751,Black Friday,Youtube,West,18-02-2024,03-03-2024,161322,9272,1690,1251.10,1112.60,Tablet,45-54
CMP29176,Summer Sale,Google Ads,South,27-05-2024,01-07-2024,102000,1254,172,1352.90,1123.59,Unknown,45-54
CMP06450,Summer Sale,Google Ads,North,25-03-2024,05-04-2024,56501,4283,791,823.93,1128.17,Mobile,25-34
CMP09830,Festive Offer,Email,West,08-03-2024,25-03-2024,8694,474,73,1016.78,1131.41,Unknown,35-44
CMP00069,Back To School,Google Ads,West,12-08-2024,29-08-2024,95320,3323,472,625.29,1133.23,Desktop,35-44
CMP24538,New Year,Youtube,North,04-12-2024,19-12-2024,134860,8611,428,571.89,1139.69,mobile ,55+
CMP13659,Summer Sale,Facebook,South,03-04-2024,04-01-2024,58429,4146,829,799.44,1142.29,Desktop,55+
CMP26136,Back To School,Linkedin,North,20-07-2024,05-08-2024,208565,9250,1163,802.02,1142.78,Tablet,45-54
CMP19744,Summer Sale,Google Ads,West,02-05-2024,08-03-2024,68923,5339,875,548.64,1143.95,Mobile,35-44
CMP19212,Festive Offer,Youtube,West,09-12-2024,11-10-2024,173026,11948,1305,592.74,1150.88,Desktop,35-44
CMP13098,Festive Offer,Google Ads,East,22-09-2024,14-10-2024,228016,17988,2788,1320.31,1156.02,Unknown,18-24
CMP24853,Festive Offer,Instagram,West,17-08-2024,09-07-2024,18923,1171,221,1220.30,1164.08,Mobile,55+
CMP04816,Black Friday,Youtube,Unknown,08-12-2024,18-09-2024,105053,1143,95,1225.41,1167.69,Tablet,45-54
CMP02436,Diwali Blast,Youtube,East,01-10-2024,10-12-2024,107541,3263,571,1374.60,1169.67,Unknown,45-54
CMP12282,New Year,Linkedin,East,19-08-2024,28-09-2024,240320,8741,1205,974.73,1175.34,Unknown,25-34
CMP26646,Festive Offer,Linkedin,North,09-07-2024,26-07-2024,113003,6154,624,738.30,1176.54,Unknown,55+
CMP21788,Diwali Blast,Google Ads,West,27-09-2024,10-06-2024,145217,1888,314,902.42,1182.73,Mobile,25-34
CMP16406,Summer Sale,Google Ads,West,20-10-2024,26-11-2024,48279,3240,596,867.14,1187.66,Desktop,55+
CMP07969,Back To School,Google Ads,North,22-07-2024,29-08-2024,123658,2798,304,1007.68,1196.20,Desktop,35-44
CMP29373,Back To School,Youtube,South,05-07-2024,14-05-2024,169105,11428,654,1210.46,1197.60,Tablet,45-54
CMP10140,Black Friday,Facebook,North,28-02-2024,11-03-2024,156003,9652,713,685.24,1202.36,Tablet,25-34
CMP08299,Festive Offer,Google Ads,North,08-06-2024,07-03-2024,98256,1309,138,760.04,1209.27,mobile ,25-34
CMP24943,Back To School,Email,Unknown,16-09-2024,22-10-2024,215110,13449,2369,1263.11,1209.36,Tablet,55+
CMP07938,Diwali Blast,Facebook,North,28-11-2024,20-12-2024,296967,19235,3351,908.99,1209.51,Mobile,55+
CMP13413,Black Friday,,Unknown,10-03-2024,29-03-2024,105355,4390,404,642.43,1212.89,Unknown,25-34
CMP21769,Black Friday,Google Ads,South,03-10-2024,31-10-2024,278230,12551,2097,627.33,1215.92,Unknown,35-44
CMP19382,New Year,Facebook,Unknown,17-09-2024,19-10-2024,278986,17228,1664,519.97,1225.54,mobile ,35-44
CMP26927,Black Friday,Google Ads,East,15-09-2024,22-09-2024,96214,4144,784,747.80,1225.70,Desktop,45-54
CMP22782,Diwali Blast,Instagram,East,10-05-2024,18-10-2024,152541,11561,1220,1518.65,1228.57,Tablet,18-24
CMP16105,Festive Offer,Email,East,08-08-2024,24-08-2024,46105,2085,402,528.19,1229.32,Mobile,35-44
CMP13160,New Year,Instagram,North,08-04-2024,19-08-2024,297618,5852,757,656.20,1236.24,Unknown,35-44
CMP00058,Summer Sale,Facebook,East,24-08-2024,27-09-2024,217287,3720,373,902.78,1245.92,Desktop,18-24
CMP14308,Festive Offer,Google Ads,South,29-01-2024,19-02-2024,48059,2236,243,640.06,1246.84,Desktop,25-34
CMP16353,Diwali Blast,Google Ads,West,29-05-2024,25-06-2024,94121,7311,1272,738.72,1247.75,Unknown,18-24
CMP10842,Festive Offer,Google Ads,North,06-06-2024,10-07-2024,240223,13383,2043,768.79,1255.50,Desktop,25-34
CMP18836,Diwali Blast,Google Ads,East,27-01-2024,20-02-2024,68207,2781,135,606.88,1257.37,Tablet,18-24
CMP22183,Black Friday,Facebook,West,11-03-2024,26-03-2024,212118,13717,715,1100.77,1258.90,Tablet,55+
CMP23122,Back To School,Google Ads,North,24-06-2024,07-12-2024,22860,1127,84,844.37,1261.77,Desktop,45-54
CMP07188,Back To School,Facebook,North,06-02-2024,13-06-2024,94676,2572,201,817.21,1262.57,mobile ,45-54
CMP11009,Back To School,Facebook,North,22-08-2024,09-09-2024,232880,7390,941,1416.18,1264.17,Tablet,55+
CMP24257,Black Friday,Youtube,North,14-05-2024,22-06-2024,151207,4619,659,723.93,1271.54,Tablet,25-34
CMP00726,Black Friday,Google Ads,South,14-06-2024,13-07-2024,200484,8733,1433,963.31,1271.77,Unknown,55+
CMP20091,Summer Sale,Facebook,Unknown,22-02-2024,31-03-2024,275501,11423,1634,593.24,1272.24,Tablet,18-24
CMP22202,Back To School,Facebook,South,20-08-2024,29-08-2024,63290,3046,405,1083.89,1273.65,Desktop,35-44
CMP14400,Summer Sale,Youtube,Unknown,02-05-2024,21-02-2024,297369,18162,1354,548.36,1276.86,Tablet,45-54
CMP04277,Diwali Blast,Google Ads,North,07-10-2024,07-08-2024,220552,13648,311,617.39,1277.47,mobile ,35-44
CMP26535,Summer Sale,Google Ads,East,22-01-2024,02-06-2024,108464,3861,245,1052.80,1280.83,Tablet,18-24
CMP24984,Back To School,Google Ads,West,02-10-2024,10-12-2024,263581,11259,1030,501.17,1291.16,Desktop,35-44
CMP25684,Black Friday,Youtube,North,11-06-2024,06-07-2024,108387,4798,201,510.84,1297.93,mobile ,25-34
CMP19336,Black Friday,Face Book,West,04-09-2024,27-09-2024,175983,3007,167,502.38,1311.08,mobile ,25-34
CMP10843,New Year,Face Book,West,26-10-2024,12-02-2024,214306,17009,3277,1486.62,1314.79,Desktop,45-54
CMP05185,Summer Sale,Google Ads,West,08-08-2024,24-08-2024,250277,13629,1164,1522.50,1314.96,Unknown,35-44
CMP07110,Festive Offer,Email,South,03-10-2024,12-10-2024,193078,10588,2033,526.79,1316.45,Tablet,35-44
CMP23962,Black Friday,Instagram,North,11-02-2024,27-11-2024,279931,11946,2222,1118.32,1321.08,Unknown,45-54
CMP22857,Back To School,Email,North,19-12-2024,19-01-2025,85231,3642,354,600.93,1321.63,Unknown,45-54
CMP09752,Festive Offer,Google Ads,North,19-05-2024,28-05-2024,172067,2340,424,1247.95,1325.98,Unknown,45-54
CMP29819,New Year,Google Ads,South,26-12-2024,01-05-2025,17747,1416,127,964.85,1328.44,Tablet,55+
CMP10269,New Year,Youtube,Unknown,14-06-2024,12-07-2024,173364,5330,718,818.74,1329.29,Unknown,35-44
CMP29580,Festive Offer,,South,13-06-2024,30-06-2024,265515,18852,1062,1348.72,1333.79,Unknown,45-54
CMP12880,Black Friday,Facebook,North,06-03-2024,04-05-2024,273964,15746,2788,712.73,1337.94,Desktop,55+
CMP02401,Summer Sale,Facebook,West,18-10-2024,18-11-2024,105493,4985,731,749.40,1342.50,mobile ,18-24
CMP03044,Summer Sale,Youtube,North,14-11-2024,21-11-2024,109274,3682,548,546.30,1342.89,mobile ,18-24
CMP04060,Festive Offer,,West,19-10-2024,11-09-2024,228844,6529,757,1131.17,1353.90,Tablet,45-54
CMP29758,Diwali Blast,Instagram,Unknown,28-07-2024,18-08-2024,138990,2330,321,1083.70,1358.75,Desktop,18-24
CMP01832,Diwali Blast,Google Ads,North,17-09-2024,15-10-2024,247713,10375,1515,522.07,1360.93,Mobile,45-54
CMP05807,Summer Sale,Instagram,North,05-08-2024,13-06-2024,46478,3331,199,609.13,1362.55,Unknown,35-44
CMP20332,Back To School,Face Book,South,21-05-2024,20-06-2024,211715,3404,123,886.66,1362.75,Mobile,35-44
CMP16715,Back To School,Facebook,West,11-01-2024,27-11-2024,75720,1834,52,547.07,1370.62,Unknown,18-24
CMP13535,Diwali Blast,Google Ads,North,26-02-2024,16-03-2024,145886,8848,516,636.66,1370.94,Mobile,35-44
CMP21310,Black Friday,Google Ads,Unknown,10-11-2024,19-11-2024,43143,1742,239,584.53,1375.07,Unknown,45-54
CMP20075,Black Friday,Facebook,West,15-08-2024,20-08-2024,87109,2627,434,1004.56,1380.54,Mobile,25-34
CMP12521,Festive Offer,Google Ads,West,12-04-2024,21-12-2024,30281,2288,199,1344.68,1385.11,mobile ,45-54
CMP29991,Festive Offer,Facebook,West,30-06-2024,29-07-2024,269967,20721,1828,1179.49,1385.25,Tablet,18-24
CMP07806,Festive Offer,Facebook,South,27-05-2024,06-11-2024,39337,2612,160,1302.30,1389.51,mobile ,18-24
CMP13698,Festive Offer,Facebook,North,06-09-2024,28-06-2024,290945,8135,759,781.00,1390.99,Tablet,55+
CMP07452,New Year,Youtube,West,20-07-2024,03-08-2024,30592,435,82,1403.45,1394.21,Desktop,18-24
CMP08065,Diwali Blast,Youtube,West,08-03-2024,08-09-2024,241733,19184,2864,1448.91,1400.09,Desktop,25-34
CMP14678,Black Friday,Youtube,South,18-11-2024,12-05-2024,44188,864,92,559.03,1406.62,Desktop,55+
CMP24456,Festive Offer,Google Ads,North,09-09-2024,15-10-2024,280419,4675,927,826.73,1411.13,Tablet,45-54
CMP28001,Diwali Blast,Facebook,North,14-09-2024,19-09-2024,55462,2600,478,561.23,1413.60,Unknown,45-54
CMP25506,New Year,Google Ads,North,28-09-2024,10-04-2024,138236,10090,1818,1093.92,1418.81,Tablet,18-24
CMP04569,Diwali Blast,Facebook,North,06-02-2024,07-12-2024,170188,2858,516,1498.21,1429.17,Mobile,45-54
CMP01151,Back To School,Google Ads,South,14-03-2024,23-04-2024,276052,14772,2818,1708.70,1431.32,Unknown,35-44
CMP11553,Back To School,Face Book,North,05-06-2024,17-05-2024,242378,15709,1386,1536.86,1433.45,Tablet,45-54
CMP12795,Diwali Blast,Facebook,East,13-02-2024,03-11-2024,247862,14548,1508,541.52,1438.63,Unknown,25-34
CMP08885,New Year,Face Book,Unknown,04-12-2024,30-12-2024,61569,1378,246,1281.62,1440.17,Unknown,45-54
CMP13509,Festive Offer,Google Ads,North,14-10-2024,11-07-2024,22358,1263,84,587.04,1440.33,Desktop,35-44
CMP22288,Black Friday,Facebook,North,16-10-2024,07-11-2024,200620,11423,843,604.02,1447.98,Tablet,18-24
CMP02343,Summer Sale,Facebook,East,27-06-2024,08-01-2024,262254,18151,2379,1506.46,1452.37,Mobile,35-44
CMP25143,New Year,Facebook,North,31-01-2024,17-02-2024,244486,2508,334,999.52,1455.19,Tablet,55+
CMP14654,New Year,Email,West,02-04-2024,15-02-2024,136264,3787,724,551.48,1464.07,Mobile,25-34
CMP01317,Diwali Blast,Instagram,East,17-11-2024,12-06-2024,287329,22105,2355,1444.26,1465.12,Mobile,35-44
CMP14070,Black Friday,Youtube,North,16-03-2024,19-04-2024,196742,4576,541,980.55,1468.40,Tablet,18-24
CMP08580,Back To School,Email,North,09-08-2024,15-10-2024,236304,9398,490,750.73,1486.65,Tablet,18-24
CMP14440,Summer Sale,Google Ads,North,13-02-2024,18-03-2024,71108,1803,211,1521.54,1489.08,Mobile,18-24
CMP25187,Black Friday,Google Ads,North,13-07-2024,14-08-2024,167984,7919,596,686.41,1489.62,Unknown,25-34
CMP18951,New Year,Linkedin,West,02-09-2024,09-10-2024,259650,5924,616,1645.12,1506.75,Unknown,18-24
CMP21968,Diwali Blast,Google Ads,South,01-06-2024,26-01-2024,195863,11937,1289,1241.14,1508.13,Desktop,45-54
CMP08264,Festive Offer,Facebook,North,03-10-2024,18-04-2024,168782,7179,1416,700.80,1520.90,Mobile,45-54
CMP25442,New Year,Facebook,North,17-01-2024,28-01-2024,42758,1190,147,1483.56,1524.20,mobile ,25-34
CMP08529,Diwali Blast,Google Ads,East,26-08-2024,17-09-2024,99325,2247,107,1669.79,1525.24,mobile ,35-44
CMP12272,Black Friday,Google Ads,West,29-10-2024,11-12-2024,32954,1408,253,1105.90,1525.58,Desktop,45-54
CMP22832,Black Friday,Instagram,South,03-12-2024,20-03-2024,273094,15249,1593,937.42,1526.75,Mobile,18-24
CMP02162,New Year,Google Ads,North,22-09-2024,27-10-2024,94564,1710,277,1477.63,1527.86,Mobile,45-54
CMP21362,Back To School,Google Ads,West,22-07-2024,31-08-2024,50022,994,141,759.45,1528.06,mobile ,45-54
CMP24836,Festive Offer,Youtube,West,28-07-2024,14-08-2024,294106,9360,670,551.00,1537.20,Tablet,45-54
CMP06331,Festive Offer,Facebook,Unknown,23-07-2024,25-08-2024,44949,1184,85,1463.48,1549.96,mobile ,45-54
CMP02042,Festive Offer,Google Ads,North,13-05-2024,20-05-2024,15412,1001,154,1800.67,1551.80,Unknown,55+
CMP12586,Back To School,Google Ads,West,18-02-2024,03-09-2024,207673,6233,876,1250.88,1553.91,mobile ,55+
CMP06293,Summer Sale,Google Ads,North,18-10-2024,27-11-2024,99045,4320,767,1379.50,1558.40,Unknown,55+
CMP00510,Black Friday,Email,East,25-03-2024,06-04-2024,36363,556,11,829.05,1561.55,Desktop,18-24
CMP10619,Diwali Blast,,North,01-02-2024,05-02-2024,74057,2017,221,932.71,1562.54,Unknown,25-34
CMP09198,Diwali Blast,Google Ads,West,13-01-2024,26-01-2024,194900,12731,1280,611.80,1567.41,Mobile,45-54
CMP23749,Summer Sale,Youtube,Unknown,03-10-2024,29-03-2024,138525,4825,268,517.34,1573.10,Desktop,35-44
CMP20813,Summer Sale,Facebook,North,21-07-2024,16-08-2024,46666,1595,231,1066.61,1576.12,Unknown,35-44
CMP23193,Black Friday,Google Ads,West,28-11-2024,03-01-2025,45521,2343,294,632.31,1578.97,mobile ,45-54
CMP23096,Back To School,Face Book,East,08-09-2024,09-01-2024,297125,4554,549,1521.76,1580.25,mobile ,35-44
CMP18487,Black Friday,Google Ads,North,26-06-2024,20-07-2024,38033,403,47,818.97,1581.00,mobile ,25-34
CMP02408,New Year,Instagram,North,20-04-2024,25-05-2024,166753,3243,499,594.01,1582.71,Tablet,45-54
CMP01314,Back To School,Face Book,South,18-08-2024,23-09-2024,257816,7908,1196,940.07,1607.45,Unknown,18-24
CMP25535,Summer Sale,Google Ads,North,14-12-2024,01-07-2025,163808,10532,471,810.30,1611.37,Unknown,35-44
CMP06430,Diwali Blast,Email,West,04-12-2024,12-12-2024,255334,4555,795,1755.53,1615.69,Unknown,25-34
CMP12253,Diwali Blast,Facebook,South,21-04-2024,05-04-2024,260857,8288,1281,539.48,1626.84,mobile ,55+
CMP15892,Black Friday,Google Ads,East,18-07-2024,13-08-2024,99472,2196,336,782.48,1629.34,Desktop,18-24
CMP04940,Festive Offer,Google Ads,South,15-04-2024,17-05-2024,159330,9297,1579,1120.02,1631.90,Desktop,18-24
CMP24002,Festive Offer,Face Book,West,12-04-2024,05-10-2024,138695,2639,321,1105.63,1639.24,Tablet,55+
CMP11407,Summer Sale,Google Ads,West,27-08-2024,06-10-2024,63391,3027,600,672.64,1644.13,Desktop,35-44
CMP17684,Black Friday,Google Ads,West,24-07-2024,08-08-2024,131888,10022,1187,680.74,1644.40,Unknown,18-24
